date,product,region,channel,promo,price,units,sales
01-01-2023,Product_4,North,Retail,0,46.26,98,4533.48
01-01-2023,Product_1,West,Retail,0,49.4,100,4940
01-01-2023,Product_3,West,Retail,0,37.19,55,2045.45
01-01-2023,Product_5,West,Online,1,43.76,160,7001.6
01-01-2023,Product_1,North,Online,0,36.84,87,3205.08
01-01-2023,Product_2,West,Retail,0,34.78,102,3547.56
01-01-2023,Product_4,East,Retail,1,41.49,103,4273.47
01-01-2023,Product_2,North,Online,0,44.95,96,4315.2
01-01-2023,Product_5,South,Online,1,40.76,86,3505.36
01-01-2023,Product_3,North,Retail,0,38.6,108,4168.8
02-01-2023,Product_1,South,Online,0,29.39,117,3438.63
02-01-2023,Product_4,East,Online,0,41.46,83,3441.18
02-01-2023,Product_2,South,Retail,0,39.37,87,3425.19
02-01-2023,Product_4,South,Retail,0,44.22,60,2653.2
02-01-2023,Product_5,West,Retail,0,39.44,110,4338.4
02-01-2023,Product_5,North,Retail,1,38.78,127,4925.06
02-01-2023,Product_2,North,Retail,0,38.93,127,4944.11
02-01-2023,Product_1,North,Retail,0,37.37,101,3774.37
02-01-2023,Product_3,South,Retail,0,42.79,75,3209.25
02-01-2023,Product_3,North,Retail,0,32.43,90,2918.7
03-01-2023,Product_3,South,Online,0,27.17,94,2553.98
03-01-2023,Product_4,North,Retail,0,39.44,73,2879.12
03-01-2023,Product_5,West,Retail,0,46.51,101,4697.51
03-01-2023,Product_2,North,Retail,0,43.58,79,3442.82
03-01-2023,Product_3,North,Online,0,43.25,93,4022.25
03-01-2023,Product_1,South,Retail,0,37.23,143,5323.89
03-01-2023,Product_5,South,Retail,0,44.54,102,4543.08
03-01-2023,Product_4,West,Retail,0,35.61,92,3276.12
03-01-2023,Product_1,North,Online,0,31.36,123,3857.28
03-01-2023,Product_2,South,Online,0,41.15,92,3785.8
04-01-2023,Product_4,North,Retail,0,33.58,102,3425.16
04-01-2023,Product_1,South,Retail,0,43.36,112,4856.32
04-01-2023,Product_3,East,Retail,0,40.08,101,4048.08
