date,failures
2023-01-01,5
2023-01-02,5
2023-01-03,6
2023-01-04,6
2023-01-05,5
2023-01-06,5
2023-01-07,6
2023-01-08,6
2023-01-09,6
2023-01-10,6
2023-01-11,6
2023-01-12,6
2023-01-13,6
2023-01-14,5
2023-01-15,5
2023-01-16,6
2023-01-17,6
2023-01-18,7
2023-01-19,6
2023-01-20,6
2023-01-21,7
2023-01-22,7
2023-01-23,7
2023-01-24,6
2023-01-25,7
2023-01-26,7
2023-01-27,6
2023-01-28,7
2023-01-29,7
2023-01-30,7
2023-01-31,7
2023-02-01,8
2023-02-02,7
2023-02-03,6
2023-02-04,7
2023-02-05,6
2023-02-06,7
2023-02-07,6
2023-02-08,6
2023-02-09,7
2023-02-10,7
2023-02-11,7
2023-02-12,7
2023-02-13,7
2023-02-14,6
2023-02-15,6
2023-02-16,6
2023-02-17,7
2023-02-18,6
2023-02-19,5
2023-02-20,6
2023-02-21,6
2023-02-22,6
2023-02-23,6
2023-02-24,6
2023-02-25,6
2023-02-26,5
2023-02-27,5
2023-02-28,6
2023-03-01,6
2023-03-02,5
2023-03-03,5
2023-03-04,4
2023-03-05,4
2023-03-06,5
2023-03-07,5
2023-03-08,5
2023-03-09,5
2023-03-10,5
2023-03-11,4
2023-03-12,4
2023-03-13,5
2023-03-14,4
2023-03-15,5
2023-03-16,3
2023-03-17,4
2023-03-18,4
2023-03-19,4
2023-03-20,4
2023-03-21,3
2023-03-22,3
2023-03-23,4
2023-03-24,4
2023-03-25,3
2023-03-26,3
2023-03-27,3
2023-03-28,4
2023-03-29,3
2023-03-30,3
2023-03-31,3
2023-04-01,3
2023-04-02,3
2023-04-03,3
2023-04-04,3
2023-04-05,3
2023-04-06,2
2023-04-07,3
2023-04-08,3
2023-04-09,3
2023-04-10,3
2023-04-11,2
2023-04-12,3
2023-04-13,3
2023-04-14,3
2023-04-15,3
2023-04-16,4
2023-04-17,4
2023-04-18,4
2023-04-19,4
2023-04-20,4
2023-04-21,3
2023-04-22,4
2023-04-23,4
2023-04-24,5
2023-04-25,4
2023-04-26,4
2023-04-27,4
2023-04-28,4
2023-04-29,5
2023-04-30,5
